"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 8 Southside Central",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Jahangir HANIF","15","53","20","20","2","4","2","0","2","1"
"Mhairi HUNTER","58","32","22","6","9","3","0","1","3","1"
"David Mansfield JAGO","3","6","11","5","10","1","6","3","1","3"
"Anne-Marie MILLAR","37","15","38","12","6","5","2","1","0","2"
"James SCANLON","55","64","16","12","4","2","3","0","1","0"
"Soryia SIDDIQUE","57","46","23","12","3","3","1","4","0","1"
"BOX 167 & 174","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","5","6","10","6","4","4","2","3","0","0"
"Thomas Muirhead CONNOR","10","6","7","1","4","1","0","1","4","3"
"Moira Ann CRAWFORD","9","6","19","13","5","5","3","0","0","0"
"Jean DOUGLAS","2","4","3","4","2","2","2","3","0","1"
"Jahangir HANIF","30","43","8","9","4","2","1","1","2","2"
"Mhairi HUNTER","55","28","15","6","3","1","0","2","4","1"
"David Mansfield JAGO","3","2","7","4","3","4","3","1","2","3"
"Anne-Marie MILLAR","25","11","26","7","4","2","1","3","0","0"
"James SCANLON","82","61","15","6","2","1","1","0","1","0"
"Soryia SIDDIQUE","47","60","10","8","1","0","2","0","0","1"
"BOX 168","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","4","3","5","8","4","1","1","2","0","3"
"Thomas Muirhead CONNOR","9","2","4","0","0","0","1","0","5","1"
"Moira Ann CRAWFORD","10","8","17","4","2","2","1","3","0","0"
"Jean DOUGLAS","0","4","4","2","0","0","4","1","0","2"
"Jahangir HANIF","79","32","15","3","1","2","1","1","0","0"
"Mhairi HUNTER","23","66","12","5","3","0","0","1","1","0"
"David Mansfield JAGO","1","3","2","4","1","5","1","0","1","0"
"Anne-Marie MILLAR","18","12","23","3","2","1","1","0","1","1"
"James SCANLON","49","46","13","9","0","1","0","0","0","0"
"Soryia SIDDIQUE","54","49","24","5","2","0","0","0","0","0"
"BOX 169","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","3","7","10","6","5","2","0","1","1","0"
"Thomas Muirhead CONNOR","8","2","0","1","1","2","1","1","3","0"
"Moira Ann CRAWFORD","23","9","27","6","3","4","2","0","0","0"
"Jean DOUGLAS","0","4","3","1","0","1","1","1","1","1"
"Jahangir HANIF","69","36","10","6","0","1","0","2","0","0"
"Mhairi HUNTER","39","53","17","6","2","0","0","0","1","0"
"David Mansfield JAGO","3","4","4","4","1","1","1","3","0","1"
"Anne-Marie MILLAR","15","14","16","7","3","0","2","1","0","2"
"James SCANLON","33","39","17","9","1","1","1","0","1","1"
"Soryia SIDDIQUE","31","31","20","7","2","0","1","0","1","1"
"BOX 170","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","7","6","15","9","6","1","3","2","0","4"
"Thomas Muirhead CONNOR","11","2","4","4","0","3","2","1","5","6"
"Moira Ann CRAWFORD","13","11","24","16","5","5","2","1","0","0"
"Jean DOUGLAS","2","5","4","1","2","1","2","5","5","3"
"Jahangir HANIF","113","24","15","2","3","3","1","0","0","1"
"Mhairi HUNTER","19","96","19","9","3","0","0","0","0","0"
"David Mansfield JAGO","2","2","10","4","4","3","3","1","5","1"
"Anne-Marie MILLAR","26","10","20","10","4","5","5","2","1","1"
"James SCANLON","41","52","20","11","2","5","2","4","2","1"
"Soryia SIDDIQUE","48","48","18","7","8","0","1","3","1","1"
"BOX 171","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","8","3","13","4","6","3","2","1","1","2"
"Thomas Muirhead CONNOR","3","3","2","0","3","2","2","1","1","1"
"Moira Ann CRAWFORD","9","13","20","15","4","0","1","0","0","1"
"Jean DOUGLAS","3","4","1","2","1","1","1","1","1","1"
"Jahangir HANIF","64","31","11","5","3","1","1","1","0","2"
"Mhairi HUNTER","30","63","15","5","0","0","0","0","3","0"
"David Mansfield JAGO","0","1","10","1","3","1","1","2","1","1"
"Anne-Marie MILLAR","33","14","33","8","2","1","0","2","1","0"
"James SCANLON","67","57","16","8","4","3","1","0","1","1"
"Soryia SIDDIQUE","46","50","21","12","1","3","2","2","1","0"
"BOX 172","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","8","3","12","1","5","3","1","2","2","1"
