"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 5 Govan",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,,
"Tahir MOHAMMED","3","10","65","4","2","2","0","2","0","0","0","2","0","0"
"Harriet MURDOCH","3","2","3","2","1","2","3","0","0","0","0","0","1","0"
"Fariha THOMAS","43","37","27","8","6","1","2","0","0","0","0","1","0","0"
"Chris YOUNG","2","2","6","3","2","4","2","1","1","0","0","0","0","0"
"BOX 106 & 109","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","59","47","11","8","4","3","3","1","0","0","0","0","1","0"
"Finlay ARCHIBALD","7","10","7","3","1","2","0","3","0","0","1","1","3","1"
"Jesper BACH","28","16","12","9","3","3","4","0","1","0","0","0","1","1"
"Shaukat BUTT","45","16","10","6","6","4","1","1","1","2","0","1","1","0"
"Stephen DORNAN","7","20","13","13","7","2","1","0","3","0","1","2","0","1"
"Joyce DRUMMOND","9","6","11","3","4","2","4","3","0","1","0","3","0","0"
"John FLANAGAN","13","4","11","1","3","1","3","1","0","0","3","0","2","1"
"Alan HUGHES","12","4","8","4","2","2","1","0","1","1","0","0","1","2"
"Allison HUNTER","87","45","35","6","4","1","0","2","1","2","0","0","0","0"
"Jonathan MACKIE","20","81","36","7","5","2","0","2","2","0","2","0","0","0"
"Tahir MOHAMMED","34","32","74","12","6","2","1","0","0","2","0","2","0","0"
"Harriet MURDOCH","6","9","4","6","1","0","1","0","3","2","1","0","0","2"
"Fariha THOMAS","35","44","28","9","4","1","2","0","1","0","0","1","0","0"
"Chris YOUNG","7","8","12","9","8","4","1","1","0","2","3","0","0","0"
"BOX 107","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","47","28","11","3","1","0","2","0","1","1","0","0","0","0"
"Finlay ARCHIBALD","0","1","3","4","4","1","0","2","1","1","0","0","1","1"
"Jesper BACH","14","11","9","8","4","3","0","0","1","0","0","1","0","0"
"Shaukat BUTT","5","11","6","2","3","1","1","3","1","0","0","0","0","0"
"Stephen DORNAN","10","6","4","9","3","1","3","1","1","0","0","0","0","0"
"Joyce DRUMMOND","7","2","5","2","0","2","1","0","0","0","2","0","1","1"
"John FLANAGAN","8","1","5","1","2","2","0","2","1","1","0","0","0","0"
"Alan HUGHES","8","4","4","1","1","0","0","1","1","1","0","1","0","0"
