"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 21 North East",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Jamie COCOZZA","5","2","4","4","2","4","2","6","1"
"Tony KENNY","11","49","9","10","3","0","1","2","2"
"Gerry LEONARD","30","108","24","2","8","0","1","2","0"
"John Cluny MACPHERSON","2","9","8","2","1","4","3","2","1"
"Kim SCHMULIAN","16","3","4","0","3","3","3","1","5"
"Sohan SINGH","102","21","41","4","2","1","1","0","2"
"BOX 468","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","77","12","11","7","2","2","1","1","2"
"Maureen BURKE","100","79","68","5","4","1","1","1","0"
"Stuart Duncan CLAY","5","13","21","17","5","6","1","0","0"
"Jamie COCOZZA","7","1","3","6","6","4","3","3","3"
"Tony KENNY","9","61","14","3","4","1","8","1","1"
"Gerry LEONARD","124","83","26","8","4","1","2","1","0"
"John Cluny MACPHERSON","3","4","9","6","3","3","2","6","1"
"Kim SCHMULIAN","11","3","3","1","2","1","1","5","9"
"Sohan SINGH","3","63","122","6","4","2","2","1","2"
"TOTAL POSTAL NORTH EAST","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","299","160","35","42","20","11","8","7","5"
"Maureen BURKE","530","258","270","36","17","2","4","1","1"
"Stuart Duncan CLAY","36","33","98","56","27","23","24","12","2"
"Jamie COCOZZA","9","29","57","48","16","25","18","12","22"
"Tony KENNY","102","270","48","42","32","9","18","12","4"
"Gerry LEONARD","357","452","156","41","10","12","4","3","4"
"John Cluny MACPHERSON","22","30","25","23","17","17","15","38","6"
"Kim SCHMULIAN","58","19","13","19","8","16","9","17","47"
"Sohan SINGH","146","185","490","27","32","9","12","5","9"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

