"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 6 Pollokshields",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Hanif RAJA","104","28","34","4","5","0","3","5"
"BOX 129","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","13","27","28","6","5","3","4","0"
"Akhtar KHAN","2","9","8","6","3","5","1","1"
"Norman MACLEOD","108","58","15","6","3","3","0","0"
"Khalil MALIK","35","104","25","6","3","1","3","0"
"Patrick MCALEER","40","45","70","6","2","1","1","0"
"David MEIKLE","34","13","12","4","1","0","2","10"
"Andrina MORRISON","1","9","13","4","7","1","1","0"
"Hanif RAJA","98","22","19","8","3","1","1","1"
"BOX 130","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","9","14","19","8","11","5","5","2"
"Akhtar KHAN","3","12","17","6","2","6","5","3"
"Norman MACLEOD","60","57","17","10","4","1","1","1"
"Khalil MALIK","52","61","25","6","4","0","3","1"
"Patrick MCALEER","55","51","52","14","5","2","0","0"
"David MEIKLE","41","11","11","5","4","3","3","9"
"Andrina MORRISON","1","9","14","6","8","5","5","1"
"Hanif RAJA","66","27","24","7","4","1","0","3"
"BOX 131","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","7","21","16","7","5","3","4","0"
"Akhtar KHAN","2","7","8","8","3","5","0","5"
"Norman MACLEOD","70","63","29","6","2","1","0","2"
"Khalil MALIK","52","78","23","5","4","1","2","0"
"Patrick MCALEER","50","42","57","13","7","0","0","0"
"David MEIKLE","55","19","18","4","1","4","0","2"
"Andrina MORRISON","2","7","6","7","3","1","4","3"
"Hanif RAJA","76","27","17","11","1","3","2","0"
"TOTAL POSTAL POLLOKSHIELDS","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","48","144","112","34","17","13","15","9"
"Akhtar KHAN","14","25","91","115","23","19","11","17"
"Norman MACLEOD","364","375","141","13","9","12","10","3"
"Khalil MALIK","351","461","91","19","9","9","12","8"
"Patrick MCALEER","84","138","245","43","33","19","7","5"
"David MEIKLE","385","75","79","22","10","6","10","27"
"Andrina MORRISON","7","60","79","34","27","15","20","12"
"Hanif RAJA","457","127","147","16","12","11","13","12"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,

