"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 20 Baillieston",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Arthur Misty  THACKERAY","6","1","7","3","3","1","1","0","2","3"
"David Jamieson TURNER","57","84","21","9","1","1","0","0","0","2"
"David WEIR","7","6","38","11","4","4","1","3","0","2"
"BOX 436 & 441","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","1","0","12","7","3","5","1","2","1","2"
"James COLEMAN","106","63","19","8","2","1","1","2","0","0"
"Marie GARRITY","60","98","9","11","1","2","4","1","0","0"
"Raymond Colin MCCRAE","21","4","17","2","7","2","1","2","3","0"
"James David MCHALE","2","7","9","7","4","3","2","2","1","2"
"Andy MUIR","7","6","24","4","7","2","1","1","1","0"
"Austin SHERIDAN","68","67","22","10","0","0","0","1","1","0"
"Arthur Misty  THACKERAY","0","5","9","6","0","3","4","0","3","2"
"David Jamieson TURNER","77","67","21","11","2","1","0","0","2","1"
"David WEIR","6","4","47","6","3","3","2","2","0","4"
"BOX 437","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","6","1","7","1","1","2","2","0","1","2"
"James COLEMAN","68","68","8","0","1","0","1","0","2","0"
"Marie GARRITY","68","47","5","7","0","2","0","2","0","0"
"Raymond Colin MCCRAE","5","5","7","0","4","2","2","0","0","1"
"James David MCHALE","2","3","4","0","5","3","1","2","0","0"
"Andy MUIR","6","4","12","5","1","1","3","1","1","0"
"Austin SHERIDAN","35","50","9","4","0","0","0","1","0","2"
"Arthur Misty  THACKERAY","1","2","2","0","1","1","1","2","1","3"
"David Jamieson TURNER","56","28","7","4","2","1","0","0","2","0"
"David WEIR","4","5","14","8","0","0","0","1","1","0"
"BOX 438","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","1","2","19","3","3","2","3","1","0","1"
"James COLEMAN","63","56","11","6","5","2","0","0","0","0"
"Marie GARRITY","59","59","9","7","2","2","2","1","0","0"
"Raymond Colin MCCRAE","9","2","9","2","2","1","1","0","3","1"
"James David MCHALE","3","0","3","2","4","1","2","3","0","1"
"Andy MUIR","3","3","10","2","2","2","2","1","1","0"
"Austin SHERIDAN","29","52","7","4","0","1","0","1","2","0"
"Arthur Misty  THACKERAY","1","2","5","2","0","3","1","1","3","2"
"David Jamieson TURNER","55","30","8","4","2","0","0","0","0","2"
"David WEIR","2","1","13","8","3","1","0","2","0","2"
"BOX 439","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","4","2","11","4","1","2","2","2","1","2"
"James COLEMAN","72","38","13","3","2","0","2","0","1","0"
"Marie GARRITY","46","60","13","6","3","2","0","1","0","1"
"Raymond Colin MCCRAE","13","4","6","1","2","1","2","0","1","3"
"James David MCHALE","1","3","2","4","3","4","0","2","0","0"
"Andy MUIR","0","6","13","6","4","2","2","1","0","1"
"Austin SHERIDAN","45","51","7","7","2","2","1","0","1","0"
"Arthur Misty  THACKERAY","7","5","5","6","1","0","2","3","4","0"
"David Jamieson TURNER","56","36","8","3","2","0","1","1","0","1"
"David WEIR","7","1","19","9","2","1","0","1","1","1"
