"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 4 Craigton",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Ian RUFFELL","4","3","18","9","4","2","1","0","0","1"
"Gail SHERIDAN","5","4","8","5","4","1","0","1","1","1"
"Jim TORRANCE","12","37","18","10","0","0","1","2","0","0"
"Alistair WATSON","11","90","14","6","1","2","0","1","0","0"
"BOX 088","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","76","17","13","7","0","0","0","1","1","0"
"Matt KERR","68","35","11","9","5","0","0","2","0","0"
"Gordon MACDIARMID","4","2","7","4","2","3","2","0","2","1"
"Janice MACKAY","2","5","5","2","1","1","1","1","3","1"
"Jayne Ann MORGAN","7","4","3","4","3","1","0","1","0","3"
"Isabel NELSON","2","4","6","3","1","4","1","1","1","0"
"Ian RUFFELL","3","2","13","4","5","3","5","1","0","1"
"Gail SHERIDAN","8","10","21","6","4","1","0","2","0","2"
"Jim TORRANCE","4","55","15","6","1","1","1","1","2","1"
"Alistair WATSON","27","46","14","12","6","0","0","0","1","1"
"BOX 089","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","74","33","20","2","2","1","0","2","0","0"
"Matt KERR","121","31","17","7","0","0","0","0","1","2"
"Gordon MACDIARMID","1","2","7","10","2","4","5","2","1","1"
"Janice MACKAY","4","3","5","6","6","0","3","4","2","2"
"Jayne Ann MORGAN","15","7","12","1","4","1","4","2","1","5"
"Isabel NELSON","2","9","11","2","7","6","1","0","6","2"
"Ian RUFFELL","6","6","25","10","5","3","0","5","3","1"
"Gail SHERIDAN","17","4","31","5","5","3","2","0","1","1"
"Jim TORRANCE","13","61","15","15","4","1","2","0","1","0"
"Alistair WATSON","23","99","13","14","2","2","0","1","0","1"
"BOX 090","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","104","42","30","3","1","1","2","3","0","1"
"Matt KERR","128","42","25","10","2","4","0","2","2","1"
"Gordon MACDIARMID","1","3","6","10","6","6","5","6","2","0"
"Janice MACKAY","6","6","8","5","6","4","7","4","2","2"
"Jayne Ann MORGAN","14","5","7","5","2","2","2","4","5","7"
"Isabel NELSON","1","7","6","7","2","8","7","3","4","3"
"Ian RUFFELL","14","10","29","13","10","2","4","1","1","1"
"Gail SHERIDAN","14","17","39","9","6","1","2","2","4","4"
"Jim TORRANCE","10","74","24","22","5","2","0","1","3","2"
"Alistair WATSON","33","97","22","11","10","4","0","1","4","2"
"BOX 091 & 092","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","137","37","41","10","4","5","2","2","2","1"
"Matt KERR","209","65","44","6","2","3","1","3","4","0"
"Gordon MACDIARMID","3","10","23","16","16","4","8","2","1","0"
"Janice MACKAY","3","2","9","7","7","7","5","7","4","2"
"Jayne Ann MORGAN","9","5","17","3","5","2","3","5","2","10"
"Isabel NELSON","5","7","15","5","6","6","5","8","6","1"
"Ian RUFFELL","9","11","33","19","10","6","5","1","5","2"
"Gail SHERIDAN","27","29","44","16","6","4","2","2","1","10"
"Jim TORRANCE","18","106","28","23","2","7","1","3","4","1"
"Alistair WATSON","50","167","23","16","6","2","4","1","3","3"
"TOTAL POSTAL CRAIGTON","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","405","202","126","52","11","2","4","8","6","7"
"Matt KERR","525","365","107","39","9","11","8","4","2","1"
"Gordon MACDIARMID","37","59","125","60","44","28","14","6","6","1"
"Janice MACKAY","22","35","41","23","18","13","27","28","10","9"
"Jayne Ann MORGAN","94","41","38","19","13","10","7","10","25","32"
"Isabel NELSON","19","44","66","28","22","16","13","25","20","2"
"Ian RUFFELL","16","30","102","46","29","23","20","18","6","8"
"Gail SHERIDAN","67","42","117","24","21","5","14","6","12","42"
"Jim TORRANCE","136","309","106","70","13","11","8","5","15","4"
"Alistair WATSON","336","408","125","71","12","12","4","5","10","4"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

