"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 14 Drumchapel-Anniesland",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Judith FISHER","109","41","36","7","9","0","2","0","1","1","0"
"Gerrard O'Neill MCCUE","1","3","5","5","5","3","2","1","1","0","0"
"Paul MCGARRY","4","3","5","5","2","2","3","0","1","3","1"
"Martyn Anthony MCINTYRE","7","2","3","5","2","1","1","4","0","0","3"
"Eric STEVENSON","1","3","3","6","1","2","0","0","4","0","0"
"James TROLLAND","1","4","3","5","6","1","0","1","0","4","0"
"Alastair WHITELAW","11","1","11","4","2","5","2","0","0","0","5"
"BOX 300","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","56","20","8","12","6","0","4","0","1","2","0"
"Paul CAREY","57","33","73","2","2","2","0","2","1","1","0"
"John DOCHERTY","19","56","6","10","11","1","0","1","0","1","2"
"Jon FINDLAY","17","90","37","8","3","1","0","2","2","0","0"
"Judith FISHER","81","26","48","7","6","1","1","0","0","2","0"
"Gerrard O'Neill MCCUE","1","4","8","6","4","11","4","2","2","0","0"
"Paul MCGARRY","2","3","8","8","5","5","4","3","3","0","2"
"Martyn Anthony MCINTYRE","10","1","6","7","4","3","1","5","1","1","3"
"Eric STEVENSON","1","2","2","5","4","4","1","0","6","4","2"
"James TROLLAND","2","0","3","6","3","3","2","4","0","5","2"
"Alastair WHITELAW","2","2","13","9","4","1","4","1","3","1","5"
"BOX 301 & 302","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","65","42","25","21","4","1","1","0","0","0","4"
"Paul CAREY","38","48","81","14","9","2","0","0","4","1","0"
"John DOCHERTY","42","71","23","7","15","3","2","0","1","3","0"
"Jon FINDLAY","143","55","31","11","4","2","1","2","0","0","1"
"Judith FISHER","26","82","58","11","7","3","2","1","0","2","0"
"Gerrard O'Neill MCCUE","1","2","12","6","6","6","4","0","3","1","3"
"Paul MCGARRY","25","19","23","18","6","6","4","3","1","1","1"
"Martyn Anthony MCINTYRE","17","19","7","4","6","3","2","4","1","0","5"
"Eric STEVENSON","3","2","3","7","5","1","1","4","5","3","1"
"James TROLLAND","1","7","6","4","4","1","3","7","3","4","0"
"Alastair WHITELAW","21","13","32","17","4","6","5","2","2","2","1"
"BOX 303 & 304","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","98","64","21","15","10","1","2","0","2","2","2"
"Paul CAREY","53","70","128","23","8","1","2","1","0","1","2"
"John DOCHERTY","50","97","24","17","12","6","0","3","0","3","2"
"Jon FINDLAY","218","49","41","11","11","4","4","1","1","2","1"
"Judith FISHER","13","138","99","14","12","8","1","1","3","1","0"
"Gerrard O'Neill MCCUE","1","4","13","16","2","9","9","5","6","1","1"
"Paul MCGARRY","16","13","13","21","4","5","10","4","6","2","0"
"Martyn Anthony MCINTYRE","22","6","6","6","3","2","2","10","2","3","12"
"Eric STEVENSON","1","2","13","6","9","6","4","8","4","6","1"
"James TROLLAND","3","8","8","13","0","6","5","3","6","2","6"
"Alastair WHITELAW","21","16","37","20","10","7","5","4","3","6","1"
"BOX 305","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","95","54","15","6","5","2","1","2","1","1","0"
"Paul CAREY","30","55","94","11","4","4","0","2","0","0","0"
"John DOCHERTY","45","89","15","10","2","2","3","1","1","1","1"
"Jon FINDLAY","167","39","27","6","5","3","1","1","0","0","0"
"Judith FISHER","23","90","69","9","11","5","3","0","0","0","0"
"Gerrard O'Neill MCCUE","1","4","10","11","1","5","4","4","1","0","0"
"Paul MCGARRY","8","10","13","6","7","5","9","2","1","1","0"
"Martyn Anthony MCINTYRE","15","8","7","8","3","1","0","8","1","0","3"
"Eric STEVENSON","0","2","4","5","3","1","2","1","8","2","1"
"James TROLLAND","1","1","10","6","3","1","2","0","1","9","1"
"Alastair WHITELAW","10","4","26","23","4","5","1","1","0","0","8"
"BOX 306","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","61","32","10","12","2","1","1","1","1","0","1"
"Paul CAREY","23","28","55","8","5","3","0","1","0","0","2"
"John DOCHERTY","29","55","9","10","7","2","2","0","0","1","0"
"Jon FINDLAY","68","44","27","11","3","3","1","0","1","3","0"
"Judith FISHER","35","35","35","4","8","4","4","1","2","1","0"
"Gerrard O'Neill MCCUE","2","5","7","9","4","8","3","2","1","1","0"
"Paul MCGARRY","8","8","6","9","5","1","6","2","1","1","0"
"Martyn Anthony MCINTYRE","10","7","5","1","2","2","1","4","0","1","5"
"Eric STEVENSON","0","3","4","5","4","2","0","4","1","3","2"
"James TROLLAND","4","2","6","7","2","2","0","2","7","0","1"
"Alastair WHITELAW","12","17","27","13","4","2","3","0","0","3","2"
"TOTAL POSTAL DRUMCHAPEL/ANNIESLAND","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","291","210","58","49","32","13","6","8","5","7","12"
"Paul CAREY","725","197","310","32","24","7","6","2","6","5","4"
"John DOCHERTY","154","283","87","57","39","7","13","4","7","14","6"
"Jon FINDLAY","283","467","281","62","27","9","4","6","3","6","1"
"Judith FISHER","217","365","449","42","34","14","9","4","7","4","3"
"Gerrard O'Neill MCCUE","6","16","48","46","15","42","29","19","9","5","4"
"Paul MCGARRY","32","48","37","41","24","23","32","22","5","18","8"
"Martyn Anthony MCINTYRE","82","18","23","20","9","7","12","31","14","7","41"
"Eric STEVENSON","10","12","27","23","27","15","19","15","33","10","14"
"James TROLLAND","10","19","27","31","22","19","9","10","23","40","5"
"Alastair WHITELAW","40","32","101","64","23","31","14","17","15","7","24"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,

