"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 3 Greater Pollok",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 043 & 044","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"BOX 053","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","6","1","11","4","4","3","0","0","0","0","1"
"Bill BUTLER","89","21","9","6","1","1","0","0","0","1","0"
"Norman FRASER","1","1","3","6","2","1","2","0","0","0","0"
"Rashid HUSSAIN","11","76","9","11","2","0","1","1","1","0","0"
"Shabbar JAFFRI","12","44","10","7","2","0","1","0","1","1","0"
"Archie E LINNEGAN","2","0","3","1","1","1","0","0","2","3","2"
"David MCDONALD","49","20","17","3","1","0","0","1","0","0","1"
"Chris MORGAN","2","2","6","1","1","2","0","0","0","0","3"
"Tommy MORRISON","1","20","8","6","5","1","2","1","2","1","0"
"Juliet NEAL","4","1","18","7","0","1","1","4","0","2","0"
"William O'ROURKE","23","7","12","5","1","3","3","2","3","0","1"
"BOX 054 & 056","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","9","8","12","7","3","3","2","2","0","1","0"
"Bill BUTLER","136","24","18","5","1","0","1","0","1","0","1"
"Norman FRASER","3","2","5","4","1","3","5","1","1","0","1"
"Rashid HUSSAIN","15","107","14","15","0","2","1","0","1","1","0"
"Shabbar JAFFRI","26","52","9","8","2","2","0","0","1","2","0"
"Archie E LINNEGAN","1","3","12","0","3","0","1","3","3","1","1"
"David MCDONALD","62","30","27","2","0","1","0","1","3","1","0"
"Chris MORGAN","7","4","3","3","1","0","0","2","0","3","2"
"Tommy MORRISON","4","20","12","6","12","0","2","1","1","0","1"
"Juliet NEAL","13","6","26","2","2","2","1","0","0","1","1"
"William O'ROURKE","18","12","17","13","2","4","1","1","0","0","1"
"BOX 055","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","8","4","13","3","1","0","0","0","2","2","2"
"Bill BUTLER","106","22","13","4","4","2","0","0","0","1","0"
"Norman FRASER","1","7","9","2","2","1","1","1","3","0","1"
"Rashid HUSSAIN","12","90","18","7","4","0","1","1","0","0","0"
"Shabbar JAFFRI","10","46","9","5","1","1","0","0","1","0","1"
"Archie E LINNEGAN","2","0","5","2","2","2","2","1","2","1","2"
"David MCDONALD","55","14","7","5","1","1","0","0","0","2","0"
"Chris MORGAN","11","3","3","1","1","1","0","1","1","3","4"
"Tommy MORRISON","5","25","14","5","0","4","4","0","1","0","0"
"Juliet NEAL","4","7","16","6","6","1","2","3","1","1","0"
"William O'ROURKE","36","12","13","7","1","1","2","4","0","1","0"
"BOX 057 & 058","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","11","3","15","4","3","1","1","3","2","2","1"
"Bill BUTLER","160","20","31","4","2","1","1","0","0","2","0"
"Norman FRASER","0","1","3","0","2","1","1","1","2","4","2"
"Rashid HUSSAIN","10","141","16","13","2","1","0","1","2","0","1"
"Shabbar JAFFRI","27","53","7","6","2","0","0","3","0","0","0"
"Archie E LINNEGAN","0","3","9","3","0","1","2","1","5","1","2"
"David MCDONALD","61","30","16","5","1","3","2","0","0","0","0"
"Chris MORGAN","2","3","5","1","2","1","1","1","1","2","5"
"Tommy MORRISON","3","26","17","16","3","4","3","0","1","0","0"
"Juliet NEAL","2","4","7","10","6","3","2","1","0","2","1"
"William O'ROURKE","40","12","40","15","3","1","1","2","0","0","1"
"BOX 059 & 060","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","16","12","49","6","8","3","4","6","5","2","1"
"Bill BUTLER","151","55","30","14","4","2","3","0","0","2","0"
"Norman FRASER","4","7","9","10","3","2","3","4","6","4","2"
"Rashid HUSSAIN","47","124","24","16","4","3","3","1","1","2","3"
"Shabbar JAFFRI","49","78","23","16","1","3","3","1","2","3","3"
"Archie E LINNEGAN","2","2","6","6","5","3","4","3","6","3","4"
"David MCDONALD","90","56","30","10","2","4","2","3","2","4","2"
"Chris MORGAN","10","3","7","2","2","1","4","5","3","4","9"
"Tommy MORRISON","7","22","20","18","6","5","4","3","2","1","2"
"Juliet NEAL","10","16","32","13","7","6","4","5","3","1","1"
"William O'ROURKE","38","19","42","12","12","7","1","2","0","4","1"
"BOX 061","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","14","5","6","3","5","2","0","1","1","2","1"
"Bill BUTLER","108","48","15","4","2","0","0","1","0","0","0"
"Norman FRASER","0","4","3","2","4","2","1","0","2","1","0"
"Rashid HUSSAIN","47","78","16","5","2","2","1","1","1","0","0"
"Shabbar JAFFRI","25","40","10","10","1","1","2","2","1","0","0"
"Archie E LINNEGAN","0","1","3","4","0","1","0","0","0","3","1"
"David MCDONALD","44","35","9","7","3","2","0","0","1","1","0"
"Chris MORGAN","4","0","3","5","1","0","1","0","0","0","4"
"Tommy MORRISON","2","9","13","10","4","1","0","2","0","0","0"
"Juliet NEAL","3","5","19","7","6","2","2","0","2","0","0"
"William O'ROURKE","21","17","23","8","4","2","1","1","0","1","1"
"BOX 062 & 063","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","5","7","9","7","5","0","4","3","2","1","4"
"Bill BUTLER","105","50","15","6","3","3","1","0","1","0","0"
"Norman FRASER","2","3","9","4","3","4","2","2","3","3","1"
"Rashid HUSSAIN","52","82","26","8","4","1","2","1","0","1","0"
"Shabbar JAFFRI","85","47","32","8","6","0","0","0","1","1","0"
"Archie E LINNEGAN","5","5","7","5","0","0","2","3","3","5","3"
"David MCDONALD","51","72","25","24","2","3","0","1","1","1","0"
"Chris MORGAN","10","4","3","2","1","1","0","2","5","3","5"
"Tommy MORRISON","8","12","17","11","7","5","3","1","1","1","0"
"Juliet NEAL","7","11","38","8","6","5","5","2","0","2","1"
"William O'ROURKE","6","14","23","16","4","6","4","3","1","0","2"
"BOX 064 & 066","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
