"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 13 Garscadden-Scotstounhill",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"Susan Marion MCCOURT","2","8","1","2","1","2","0","1","1","0","0","0","0"
"Mark MUIR","0","2","3","4","1","0","1","0","1","0","1","0","0"
"Paul ROONEY","14","89","66","9","4","0","0","0","0","0","0","0","0"
"Martin SCHMIERER","10","4","14","3","2","1","1","2","0","1","0","0","0"
"James Douglas SPEIRS","2","2","3","0","0","1","1","0","1","0","1","1","0"
"Ryan STUART","3","1","3","8","1","0","1","0","0","1","0","0","1"
"Donald T WILSON","15","59","9","5","4","0","1","0","0","0","0","1","0"
"BOX 270","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","135","17","10","3","1","0","1","0","1","1","0","0","0"
"John CORMACK","1","4","8","2","1","1","0","2","0","1","0","0","2"
"Iain CUMMING","3","5","2","1","1","1","2","2","2","0","0","1","0"
"Graeme Andrew HENDRY","56","20","11","6","2","0","0","1","0","1","0","1","1"
"Phil JARVIS","6","3","3","6","1","0","1","2","0","1","0","0","0"
"John KELLY","5","48","62","4","5","1","1","0","0","3","0","0","0"
"Susan Marion MCCOURT","5","4","1","0","0","1","0","0","2","0","3","1","1"
"Mark MUIR","0","2","1","3","4","2","0","0","0","1","1","1","0"
"Paul ROONEY","6","60","56","9","3","3","0","1","1","0","2","0","0"
"Martin SCHMIERER","4","6","18","9","1","3","0","1","1","1","0","1","1"
"James Douglas SPEIRS","2","2","1","2","3","0","1","1","0","0","2","3","1"
"Ryan STUART","0","1","5","0","1","2","2","0","3","0","1","1","0"
"Donald T WILSON","11","41","9","9","3","2","2","0","0","1","1","1","1"
"BOX 271","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","117","34","83","11","3","1","0","0","0","1","1","0","0"
"John CORMACK","4","5","6","5","1","2","2","1","1","3","3","0","1"
"Iain CUMMING","2","8","8","3","2","0","3","1","0","1","1","1","1"
"Graeme Andrew HENDRY","80","68","7","9","3","2","0","1","0","0","0","0","1"
"Phil JARVIS","8","8","2","11","3","4","0","1","2","2","1","0","0"
"John KELLY","59","61","47","17","5","0","1","1","0","1","0","0","1"
"Susan Marion MCCOURT","19","4","9","5","0","1","1","1","0","0","2","2","2"
"Mark MUIR","1","0","5","4","0","2","3","4","2","2","0","2","0"
"Paul ROONEY","19","91","62","9","9","2","0","0","3","0","0","0","0"
"Martin SCHMIERER","17","11","28","11","6","7","5","3","2","1","0","0","1"
"James Douglas SPEIRS","8","6","9","2","3","1","2","3","1","1","2","1","1"
"Ryan STUART","1","3","4","5","7","2","3","0","3","1","1","3","1"
"Donald T WILSON","47","58","17","16","7","1","1","1","0","1","0","1","1"
"BOX 272","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
