"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 19 Shettleston",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Anne SIMPSON","22","25","61","6","5","3","0","3","0","0"
"Richard Alan SULLIVAN","8","2","3","5","0","0","1","1","2","3"
"Marjory Marie WATT","4","2","5","4","4","0","2","1","2","0"
"BOX 413","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","1","6","19","9","2","3","0","0","1","0"
"Frank MCAVEETY","39","50","100","4","9","0","0","0","0","0"
"John MCLAUGHLIN","40","63","5","1","1","0","0","3","1","0"
"Adam MILLER","66","41","13","5","1","0","0","0","2","1"
"Andy MUIR","2","4","12","9","3","1","3","0","1","1"
"Colin RUTHERFORD","3","2","7","4","4","4","0","0","0","3"
"George RYAN","161","23","23","5","0","0","1","0","0","0"
"Anne SIMPSON","8","109","60","11","0","1","0","1","0","0"
"Richard Alan SULLIVAN","9","3","5","2","1","2","1","1","1","1"
"Marjory Marie WATT","0","1","2","5","5","1","2","1","0","0"
"BOX 414","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","1","2","17","7","6","4","1","0","0","0"
"Frank MCAVEETY","43","36","96","5","3","1","1","0","0","0"
"John MCLAUGHLIN","32","58","2","4","1","1","0","2","0","0"
"Adam MILLER","61","34","4","3","1","0","1","0","2","0"
"Andy MUIR","4","3","15","13","2","1","1","1","0","0"
"Colin RUTHERFORD","3","1","5","8","3","1","1","1","1","1"
"George RYAN","130","42","16","3","1","1","0","1","0","2"
"Anne SIMPSON","9","87","53","2","3","1","1","0","2","0"
"Richard Alan SULLIVAN","13","1","4","1","1","1","2","1","0","4"
"Marjory Marie WATT","0","2","2","5","1","1","0","1","2","0"
"BOX 415","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","3","6","17","10","2","3","1","3","0","1"
"Frank MCAVEETY","45","28","56","2","4","1","2","0","0","0"
"John MCLAUGHLIN","37","51","6","3","1","1","0","0","1","0"
"Adam MILLER","53","40","4","4","2","0","0","0","0","0"
"Andy MUIR","4","7","9","3","3","1","3","2","0","0"
"Colin RUTHERFORD","0","2","4","5","2","2","1","2","0","0"
"George RYAN","97","25","20","2","2","0","1","0","0","0"
"Anne SIMPSON","3","60","50","6","4","3","0","1","0","0"
"Richard Alan SULLIVAN","9","3","5","1","1","0","1","0","6","2"
"Marjory Marie WATT","0","2","1","6","0","1","0","1","2","5"
"BOX 416 & 418","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","4","2","18","12","2","3","5","2","0","0"
"Frank MCAVEETY","50","41","88","6","3","0","1","0","0","0"
"John MCLAUGHLIN","55","37","7","7","3","3","1","1","2","0"
"Adam MILLER","36","51","5","6","4","1","0","1","1","3"
"Andy MUIR","5","5","11","9","2","3","3","3","3","0"
"Colin RUTHERFORD","0","8","10","6","2","2","2","2","0","0"
"George RYAN","135","47","25","5","3","1","0","0","0","0"
"Anne SIMPSON","6","80","59","14","2","2","1","1","0","0"
"Richard Alan SULLIVAN","9","3","3","3","1","0","0","0","2","5"
"Marjory Marie WATT","3","0","0","2","4","2","1","1","2","1"
"BOX 417","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","3","3","11","5","4","6","4","1","0","0"
"Frank MCAVEETY","35","38","86","5","1","1","3","1","0","1"
"John MCLAUGHLIN","40","26","9","3","1","0","1","1","1","2"
"Adam MILLER","25","37","7","3","2","0","0","1","3","1"
"Andy MUIR","2","8","10","4","5","2","2","4","1","0"
"Colin RUTHERFORD","2","4","2","3","2","2","1","4","2","3"
"George RYAN","132","28","18","1","0","0","1","1","1","0"
"Anne SIMPSON","4","89","56","8","3","0","0","2","1","0"
"Richard Alan SULLIVAN","6","3","0","3","1","0","3","0","3","6"
"Marjory Marie WATT","0","0","3","2","4","7","1","1","4","1"
"TOTAL POSTAL SHETTLESTON","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","27","35","68","65","17","26","9","13","1","3"
"Frank MCAVEETY","486","189","265","24","14","8","4","4","4","5"
"John MCLAUGHLIN","187","213","33","30","18","10","13","8","9","2"
"Adam MILLER","231","197","44","30","26","13","6","11","6","5"
"Andy MUIR","21","40","69","46","17","20","18","7","6","7"
"Colin RUTHERFORD","18","18","28","46","16","13","12","19","9","10"
"George RYAN","267","363","218","41","14","3","9","4","7","1"
"Anne SIMPSON","172","267","370","25","27","7","8","12","5","2"
"Richard Alan SULLIVAN","70","15","21","22","8","5","5","8","15","38"
"Marjory Marie WATT","10","24","16","19","17","13","13","7","29","12"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

