"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 16 Canal",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,
"Fay DORNAN","2","1","7","4","2","0","0","1","0","0","1","0"
"Caroline JOHNSTON","0","1","3","2","1","1","0","0","0","1","1","0"
"Chris KELLY","140","20","8","1","1","0","0","0","1","0","0","0"
"Billy MCALLISTER","60","12","9","0","1","1","0","1","0","0","0","2"
"Angela MCCORMICK","0","2","2","1","2","0","2","0","2","1","0","0"
"Graham Craig NICHOLLS","0","8","0","3","1","2","0","3","0","0","0","0"
"Gavin Clark ROBERTS","9","48","4","6","0","0","0","0","2","1","1","0"
"Helen STEPHEN","15","112","16","4","1","0","1","0","0","1","0","0"
"Margaret WALKER","3","4","0","0","0","0","2","0","1","0","1","1"
"Kieran WILD","1","2","11","5","0","1","0","1","0","2","0","1"
"BOX 347","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","18","9","9","5","1","1","1","1","0","2","0","1"
"Brian BROWN","15","9","7","4","1","0","0","1","1","0","1","0"
"Fay DORNAN","1","1","10","2","2","0","2","2","0","0","1","0"
"Caroline JOHNSTON","3","1","3","0","3","1","1","0","2","1","0","0"
"Chris KELLY","52","81","5","5","1","0","0","0","2","0","0","0"
"Billy MCALLISTER","46","13","8","4","2","0","0","1","0","0","1","0"
"Angela MCCORMICK","6","6","9","5","1","3","0","1","1","0","0","0"
"Graham Craig NICHOLLS","2","11","7","4","0","1","0","0","0","1","0","1"
"Gavin Clark ROBERTS","10","38","15","6","2","0","1","0","0","0","0","1"
"Helen STEPHEN","70","37","18","3","5","1","0","1","0","0","0","0"
"Margaret WALKER","3","1","4","2","0","2","1","0","0","2","2","0"
"Kieran WILD","0","5","10","5","5","2","3","0","0","0","0","1"
"BOX 348","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","13","7","15","2","0","1","1","0","0","0","0","0"
"Brian BROWN","9","6","2","0","1","0","0","2","0","0","2","1"
"Fay DORNAN","1","0","5","0","3","0","2","0","1","1","1","0"
