"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 11 Hillhead",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"Alexander Wallace INGLIS","12","6","11","5","2","1","1","1","1","1","1","2","1"
"Murdo MACLEOD","2","1","3","1","1","2","2","1","0","2","0","0","3"
"Martin MCELROY","29","38","23","19","9","1","3","2","0","0","0","0","0"
"Pauline Ann MCKEEVER","36","34","23","16","6","4","1","0","2","0","0","0","0"
"Ruth SIMPSON","7","13","17","21","5","1","5","0","0","0","1","0","0"
"Mark SMITH","12","82","22","16","10","4","1","0","2","0","0","0","0"
"Martha WARDROP","85","28","71","19","5","2","1","0","0","0","0","0","0"
"BOX 226 & 227","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","96","49","33","16","4","4","0","0","0","0","0","0","1"
"Charles BAILLIE","0","1","1","0","2","0","0","2","0","2","0","1","0"
"Neil CRAIG","2","2","3","1","2","1","2","0","2","0","3","0","0"
"Frances CURRAN","8","11","16","18","6","3","4","1","0","2","1","0","0"
"Kenneth Carmichael ELDER","8","17","9","14","7","6","1","0","1","0","0","1","1"
"Iain FIRTH","0","3","6","4","1","0","0","0","3","1","1","1","0"
"Alexander Wallace INGLIS","11","6","4","4","1","4","1","1","1","0","0","1","0"
"Murdo MACLEOD","3","0","2","2","3","1","1","2","0","1","0","1","0"
"Martin MCELROY","56","45","27","14","7","1","3","1","0","0","0","0","0"
"Pauline Ann MCKEEVER","41","59","20","13","5","4","1","1","0","0","0","0","0"
"Ruth SIMPSON","9","10","15","9","7","2","1","2","1","0","1","0","2"
"Mark SMITH","37","81","29","15","5","4","0","0","0","0","0","1","0"
"Martha WARDROP","62","27","62","10","9","1","1","0","1","1","0","0","0"
"BOX 228","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","62","33","14","7","5","1","1","0","1","1","1","0","0"
"Charles BAILLIE","2","0","1","0","1","1","0","2","0","0","1","1","0"
"Neil CRAIG","3","2","1","2","0","0","3","1","1","0","2","0","0"
"Frances CURRAN","2","13","20","5","4","1","0","0","1","1","0","0","0"
"Kenneth Carmichael ELDER","7","10","11","13","3","3","2","0","0","1","0","1","1"
"Iain FIRTH","0","3","6","7","4","3","1","0","1","2","0","0","0"
"Alexander Wallace INGLIS","3","4","6","7","1","2","1","0","0","1","0","1","2"
"Murdo MACLEOD","1","1","2","0","2","1","1","0","1","0","0","2","0"
"Martin MCELROY","40","21","20","9","5","5","1","3","2","0","0","1","0"
"Pauline Ann MCKEEVER","14","43","21","11","5","2","4","2","1","0","1","0","1"
"Ruth SIMPSON","7","8","24","10","1","0","1","0","0","2","1","0","2"
"Mark SMITH","27","56","13","11","4","5","0","1","0","0","1","1","0"
"Martha WARDROP","55","17","26","14","5","1","0","1","0","0","0","0","0"
"BOX 229","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","50","32","16","4","0","0","3","0","0","1","0","1","2"
"Charles BAILLIE","0","1","2","2","0","0","1","2","0","1","2","2","1"
"Neil CRAIG","5","4","4","3","2","1","1","0","1","1","2","1","1"
"Frances CURRAN","3","4","7","5","5","2","3","1","1","2","0","1","1"
"Kenneth Carmichael ELDER","9","8","12","13","6","2","1","0","1","1","0","0","0"
"Iain FIRTH","0","2","3","7","2","3","2","2","1","0","1","0","0"
"Alexander Wallace INGLIS","9","1","5","4","1","3","0","2","3","3","1","1","0"
"Murdo MACLEOD","0","2","1","2","1","1","1","1","0","0","2","3","3"
"Martin MCELROY","58","35","16","3","3","2","2","0","0","0","0","0","1"
"Pauline Ann MCKEEVER","27","53","17","12","3","1","0","1","0","0","0","0","0"
"Ruth SIMPSON","6","10","13","11","4","4","0","0","2","1","1","0","0"
"Mark SMITH","19","41","19","9","5","1","0","2","0","0","1","0","1"
"Martha WARDROP","44","19","32","6","2","2","2","0","1","0","0","1","0"
"BOX 230 & 231","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","90","14","13","10","5","0","1","0","1","1","1","0","0"
"Charles BAILLIE","1","0","1","3","0","1","0","1","3","1","3","0","0"
"Neil CRAIG","4","2","4","2","2","0","1","1","2","3","0","1","0"
"Frances CURRAN","7","10","4","8","2","2","2","2","1","0","0","0","1"
"Kenneth Carmichael ELDER","9","6","13","1","3","4","1","1","0","0","0","2","1"
"Iain FIRTH","1","1","5","5","6","4","1","0","0","0","0","2","1"
"Alexander Wallace INGLIS","4","3","6","4","0","0","1","0","0","1","1","1","3"
"Murdo MACLEOD","4","2","6","2","0","0","1","2","0","1","1","2","0"
"Martin MCELROY","124","41","12","11","2","2","0","0","0","1","0","0","0"
"Pauline Ann MCKEEVER","33","115","19","10","2","1","2","0","0","0","1","0","0"
"Ruth SIMPSON","0","6","11","6","6","1","2","1","3","1","0","0","2"
"Mark SMITH","13","67","21","11","0","4","0","0","0","0","2","0","1"
"Martha WARDROP","30","21","36","8","2","1","1","2","0","0","0","1","0"
"BOX 232 & 235","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","60","50","33","7","3","3","1","0","1","0","1","2","0"
"Charles BAILLIE","0","2","0","1","1","0","3","2","1","2","1","1","3"
"Neil CRAIG","2","2","2","2","1","2","0","4","1","0","3","1","1"
"Frances CURRAN","5","12","17","16","4","7","3","1","1","3","2","1","0"
"Kenneth Carmichael ELDER","6","15","10","12","6","2","4","1","1","0","1","1","0"
"Iain FIRTH","0","0","3","3","1","4","2","3","3","2","1","0","0"
"Alexander Wallace INGLIS","11","3","2","2","2","1","4","1","1","2","0","1","1"
"Murdo MACLEOD","4","0","3","2","0","2","1","0","3","1","1","3","2"
"Martin MCELROY","80","41","23","16","5","1","1","1","1","1","1","1","0"
"Pauline Ann MCKEEVER","32","79","27","7","8","4","1","0","1","1","1","1","1"
"Ruth SIMPSON","6","7","12","11","9","5","0","2","1","1","1","1","0"
"Mark SMITH","38","59","24","23","3","0","1","1","0","0","1","1","1"
"Martha WARDROP","74","24","47","15","7","2","0","1","1","1","0","0","1"
"BOX 233","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","43","40","18","8","2","1","2","0","0","0","0","1","0"
"Charles BAILLIE","0","0","1","0","1","1","0","0","1","2","0","0","0"
"Neil CRAIG","3","2","4","1","1","1","1","0","0","2","1","1","0"
"Frances CURRAN","4","9","8","11","5","1","2","0","0","0","2","0","0"
"Kenneth Carmichael ELDER","6","1","7","3","8","3","1","0","0","0","0","2","0"
"Iain FIRTH","0","3","3","3","2","1","1","2","1","0","2","0","0"
"Alexander Wallace INGLIS","5","1","1","3","2","0","0","1","0","1","0","0","3"
"Murdo MACLEOD","3","0","2","1","0","0","0","2","2","0","1","1","0"
"Martin MCELROY","53","29","19","10","6","2","0","0","0","0","0","1","0"
"Pauline Ann MCKEEVER","19","60","16","11","3","5","1","0","0","0","0","0","1"
"Ruth SIMPSON","3","5","8","8","2","1","0","1","2","0","0","0","1"
"Mark SMITH","30","40","19","9","1","2","0","0","0","0","0","0","1"
"Martha WARDROP","40","7","31","9","10","2","1","1","0","1","0","0","0"
"BOX 234","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","52","45","25","13","4","2","0","0","0","1","0","0","1"
"Charles BAILLIE","1","0","1","1","0","0","0","0","2","1","0","2","1"
"Neil CRAIG","2","2","5","3","1","0","1","1","0","0","1","1","2"
"Frances CURRAN","5","11","12","18","2","7","2","1","0","1","0","0","0"
"Kenneth Carmichael ELDER","2","8","10","19","4","6","2","1","1","0","0","0","0"
"Iain FIRTH","5","2","6","2","6","1","1","1","1","0","1","0","0"
"Alexander Wallace INGLIS","3","2","5","4","5","1","1","0","1","0","0","2","0"
"Murdo MACLEOD","0","4","3","0","2","0","1","0","1","2","1","0","1"
"Martin MCELROY","57","31","22","15","5","3","1","1","0","0","0","0","0"
"Pauline Ann MCKEEVER","19","69","16","10","8","2","2","1","0","0","0","0","0"
"Ruth SIMPSON","1","3","6","4","4","2","2","0","0","1","1","0","0"
"Mark SMITH","40","42","27","12","5","0","0","1","0","0","1","1","0"
"Martha WARDROP","59","15","38","17","6","2","0","0","0","0","1","0","0"
"TOTAL POSTAL HILLHEAD","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","252","111","62","29","13","4","4","1","3","2","5","3","2"
"Charles BAILLIE","0","3","6","6","7","5","5","5","9","6","4","6","7"
"Neil CRAIG","12","22","23","21","5","6","11","8","6","3","2","3","4"
"Frances CURRAN","9","24","31","17","12","9","5","7","4","6","1","5","6"
"Kenneth Carmichael ELDER","62","76","86","41","29","12","5","8","4","4","1","2","0"
"Iain FIRTH","3","16","34","26","17","15","9","8","4","3","4","2","0"
"Alexander Wallace INGLIS","123","55","43","24","8","9","7","2","6","4","8","4","3"
"Murdo MACLEOD","14","10","18","13","6","2","6","5","6","7","5","7","13"
"Martin MCELROY","238","148","59","47","18","7","7","0","3","3","5","1","1"
"Pauline Ann MCKEEVER","131","231","67","36","18","7","2","9","1","3","3","2","3"
"Ruth SIMPSON","72","68","99","51","19","14","6","5","3","4","6","2","2"
"Mark SMITH","85","207","76","28","8","7","2","1","3","4","5","8","0"
"Martha WARDROP","118","64","164","56","20","11","7","3","4","3","0","3","4"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,

