"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 18 East Centre",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Elaine MCDOUGALL","89","37","22","5","4","1","1","0","2","0","0"
"Daniel O'DONNELL","8","7","3","13","5","1","3","1","1","4","1"
"Fraser PATERSON","0","2","3","3","5","3","2","1","3","0","2"
"Russell ROBERTSON","14","43","49","12","5","2","1","0","1","2","0"
"Colin RULLKOTTER","29","31","13","10","6","4","0","1","2","0","0"
"BOX 393 & 394","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","11","1","4","3","1","2","2","1","1","5","6"
"Nina BALLANTYNE","45","23","35","21","5","5","4","3","0","1","1"
"Frank DOCHERTY","146","38","23","9","4","4","1","0","1","0","0"
"Jennifer DUNN","82","65","19","11","6","1","1","1","2","1","0"
"Steven LAIRD","2","6","3","3","0","2","2","5","6","2","4"
"Alan LEE","2","5","12","9","7","3","8","3","2","4","0"
"Elaine MCDOUGALL","27","104","33","11","8","3","3","1","1","1","1"
"Daniel O'DONNELL","12","6","16","14","5","8","3","2","1","2","2"
"Fraser PATERSON","2","2","9","10","4","3","3","4","4","2","1"
"Russell ROBERTSON","6","14","108","12","12","6","4","1","1","0","1"
"Colin RULLKOTTER","37","70","27","12","7","4","1","2","1","1","1"
"BOX 395","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","5","6","4","1","0","2","1","1","0","1","3"
"Nina BALLANTYNE","28","17","28","13","1","1","3","0","0","0","1"
"Frank DOCHERTY","87","23","12","6","3","0","2","2","0","1","1"
"Jennifer DUNN","45","35","18","5","4","0","1","0","0","0","0"
"Steven LAIRD","5","4","4","3","2","0","0","1","0","1","1"
"Alan LEE","1","6","9","1","6","1","0","0","3","1","0"
"Elaine MCDOUGALL","17","64","26","9","4","1","2","2","1","1","0"
"Daniel O'DONNELL","8","8","16","6","3","2","1","1","2","1","0"
"Fraser PATERSON","1","2","4","7","4","1","3","1","0","0","0"
"Russell ROBERTSON","8","12","65","10","5","5","0","2","2","0","1"
"Colin RULLKOTTER","23","40","10","7","4","3","0","0","0","1","0"
"BOX 396","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","5","0","2","3","0","0","0","0","1","2","2"
"Nina BALLANTYNE","25","15","18","14","2","2","4","1","0","0","1"
"Frank DOCHERTY","85","15","20","4","5","0","0","0","0","1","0"
"Jennifer DUNN","32","33","15","7","3","3","1","1","0","1","2"
"Steven LAIRD","3","2","1","1","2","1","0","1","1","3","2"
"Alan LEE","6","9","3","8","4","5","2","2","1","0","0"
"Elaine MCDOUGALL","10","65","22","8","4","2","2","1","1","0","0"
"Daniel O'DONNELL","10","7","6","3","4","4","2","1","3","1","1"
