"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 2 Newlands-Auldburn",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Ruth BLACK","3","4","10","4","5","2","1","2","0","0","2"
"Chris CREIGHTON","5","7","8","5","5","3","2","0","0","3","0"
"Stephen CURRAN","59","98","10","7","3","1","1","3","0","1","2"
"Colin DEANS","16","7","23","7","6","5","0","0","4","0","0"
"Josephine U DOCHERTY","78","21","15","3","0","2","0","0","0","1","3"
"Emma GILLAN","100","56","18","3","1","1","1","0","4","2","0"
"Shoaib GUL","4","65","26","6","2","0","2","0","0","5","1"
"Diane HARVEY","1","3","13","3","3","0","2","4","2","0","0"
"Robert MCELROY","16","4","8","2","2","2","2","2","2","1","3"
"Michael O'DONNELL","3","4","16","3","4","0","4","2","1","2","1"
"Ben THOMSON","14","11","36","13","2","6","2","2","2","0","0"
"BOX 040","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","0","4","11","6","3","1","1","1","2","0","1"
"Chris CREIGHTON","4","9","17","7","7","4","1","0","0","2","0"
"Stephen CURRAN","53","83","20","3","8","0","1","0","0","1","0"
"Colin DEANS","23","14","28","9","4","4","0","1","1","0","0"
"Josephine U DOCHERTY","94","21","19","1","2","1","1","1","0","0","0"
"Emma GILLAN","89","62","21","7","0","2","0","0","0","0","1"
"Shoaib GUL","10","71","20","8","0","0","3","1","0","0","0"
"Diane HARVEY","4","7","6","3","0","2","1","3","1","1","2"
"Robert MCELROY","31","17","7","7","3","0","0","0","2","1","2"
"Michael O'DONNELL","7","15","19","7","2","0","0","2","2","2","0"
"Ben THOMSON","20","18","55","9","0","2","2","0","1","1","1"
"BOX 041","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","1","3","12","3","1","4","3","2","1","0","0"
"Chris CREIGHTON","5","13","12","7","7","5","3","1","0","0","1"
"Stephen CURRAN","41","60","18","10","1","0","1","1","0","2","0"
"Colin DEANS","17","23","25","6","4","3","1","1","0","1","0"
"Josephine U DOCHERTY","89","27","26","2","1","1","0","1","1","2","1"
"Emma GILLAN","68","37","15","6","5","0","0","1","1","0","2"
"Shoaib GUL","9","77","8","11","5","0","1","0","1","2","2"
"Diane HARVEY","6","3","1","6","3","4","3","3","2","0","0"
"Robert MCELROY","53","13","16","7","2","0","2","1","1","0","2"
"Michael O'DONNELL","12","15","14","13","3","6","3","1","0","2","0"
"Ben THOMSON","14","15","42","12","8","3","2","0","3","0","1"
"BOX 042","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","2","2","11","3","0","2","3","1","1","0","0"
"Chris CREIGHTON","4","7","9","1","1","4","4","1","1","0","0"
"Stephen CURRAN","43","64","22","3","2","0","1","0","0","1","0"
"Colin DEANS","9","9","14","3","5","4","0","0","0","0","1"
"Josephine U DOCHERTY","66","24","12","2","1","1","0","0","1","1","0"
"Emma GILLAN","53","41","12","10","0","0","1","0","0","0","0"
"Shoaib GUL","14","54","16","4","1","0","0","0","1","1","0"
"Diane HARVEY","3","1","2","6","6","0","1","3","0","0","0"
"Robert MCELROY","38","11","8","2","2","1","0","0","1","0","2"
"Michael O'DONNELL","8","7","4","7","1","2","1","1","0","1","0"
"Ben THOMSON","15","9","37","5","6","1","0","0","0","1","0"
"TOTAL POSTAL NEWLANDS/AULDBURN","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","18","28","54","16","17","10","9","10","9","1","5"
"Chris CREIGHTON","22","39","58","31","18","13","10","10","3","5","0"
"Stephen CURRAN","465","230","87","22","8","1","7","7","5","3","6"
"Colin DEANS","49","67","80","29","17","16","7","4","8","5","2"
"Josephine U DOCHERTY","323","185","89","14","5","6","2","5","2","4","5"
"Emma GILLAN","195","406","95","25","11","5","5","4","3","7","4"
"Shoaib GUL","549","256","62","20","6","5","1","0","7","8","4"
"Diane HARVEY","8","14","21","13","14","15","10","7","7","5","5"
"Robert MCELROY","204","40","68","11","8","3","8","4","4","5","20"
"Michael O'DONNELL","25","52","59","28","5","8","9","7","10","16","2"
"Ben THOMSON","36","39","154","27","24","11","8","11","5","2","4"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,

