"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 10 Anderston-City",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 203 & 204","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","27","19","47","11","12","3","1","0","0","0","0"
"David Scott BARNES","12","6","8","8","2","4","1","0","4","0","3"
"Philip BRAAT","259","26","23","7","3","2","0","0","1","1","0"
"Graham CAMPBELL","5","14","6","6","4","1","2","4","0","3","0"
"Martin John DOCHERTY","60","61","28","9","4","1","0","0","0","1","0"
"Rob HARRIS","2","2","10","3","5","1","5","1","2","2","0"
"Ewan HOYLE","4","4","7","8","8","7","0","2","0","0","1"
"Craig MACKAY","39","56","30","19","5","0","2","1","0","0","1"
"Gordon MATHESON","10","174","16","10","4","1","1","1","2","1","1"
"Alexander MCDOWELL","0","4","7","6","4","4","2","2","3","3","0"
"John Moir Bingham ROBERTSON","1","0","2","1","0","1","0","2","1","2","7"
"BOX 205 & 206","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","32","8","56","5","4","3","2","0","0","0","0"
"David Scott BARNES","7","4","6","6","1","2","4","0","0","2","2"
"Philip BRAAT","29","54","16","15","3","1","0","0","1","1","1"
"Graham CAMPBELL","1","2","5","9","7","1","1","1","0","2","0"
"Martin John DOCHERTY","66","44","12","7","3","1","0","1","0","0","0"
"Rob HARRIS","1","2","5","6","4","5","0","1","2","0","2"
"Ewan HOYLE","4","10","9","12","5","2","0","1","3","0","0"
"Craig MACKAY","36","48","30","6","2","1","0","0","0","1","0"
"Gordon MATHESON","44","36","12","10","4","1","1","2","0","1","0"
"Alexander MCDOWELL","0","1","6","4","2","2","1","2","1","1","0"
"John Moir Bingham ROBERTSON","2","0","0","1","1","0","1","1","2","1","3"
"BOX 207","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","12","9","36","4","0","2","3","0","2","0","0"
"David Scott BARNES","12","2","8","0","0","2","0","2","1","2","1"
"Philip BRAAT","15","167","12","5","1","0","2","0","1","2","0"
"Graham CAMPBELL","4","5","12","5","2","1","2","0","1","0","1"
"Martin John DOCHERTY","65","41","13","7","3","0","0","0","0","1","0"
"Rob HARRIS","3","2","4","4","3","1","0","1","1","0","1"
"Ewan HOYLE","2","4","5","6","5","2","2","1","1","1","0"
"Craig MACKAY","38","60","6","6","2","1","1","0","1","0","0"
"Gordon MATHESON","194","15","13","2","3","0","0","2","0","1","1"
"Alexander MCDOWELL","0","3","8","5","2","4","0","1","1","0","0"
"John Moir Bingham ROBERTSON","1","2","3","2","1","0","0","2","0","0","3"
"BOX 208 & 209 & 210","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","15","10","46","10","6","0","3","1","0","0","0"
"David Scott BARNES","18","5","15","2","4","0","0","3","4","2","2"
"Philip BRAAT","22","129","12","16","4","0","2","2","0","3","1"
"Graham CAMPBELL","5","4","12","5","2","4","3","0","2","1","1"
"Martin John DOCHERTY","51","45","19","5","4","2","2","1","2","0","1"
"Rob HARRIS","3","4","7","8","7","1","3","2","0","1","2"
"Ewan HOYLE","3","9","10","11","6","4","0","2","4","1","0"
"Craig MACKAY","43","42","10","17","2","3","1","1","0","1","0"
"Gordon MATHESON","137","31","19","6","1","4","1","2","0","1","4"
"Alexander MCDOWELL","3","1","10","6","4","6","5","4","0","3","0"
"John Moir Bingham ROBERTSON","0","2","7","1","0","1","3","2","4","2","3"
"BOX 211","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","13","8","19","7","3","0","0","1","0","0","0"
"David Scott BARNES","8","1","2","1","1","0","1","1","2","1","1"
"Philip BRAAT","17","118","5","6","3","3","0","0","0","0","1"
"Graham CAMPBELL","3","0","7","4","2","3","2","1","1","0","0"
"Martin John DOCHERTY","28","35","12","4","2","0","1","0","0","1","0"
"Rob HARRIS","0","1","4","1","2","4","3","2","0","0","0"
"Ewan HOYLE","0","1","4","3","1","1","1","3","1","0","0"
"Craig MACKAY","31","33","9","5","1","0","0","0","0","0","1"
"Gordon MATHESON","129","20","11","5","2","0","0","0","0","1","0"
"Alexander MCDOWELL","0","2","7","1","6","1","1","0","2","0","0"
"John Moir Bingham ROBERTSON","4","1","0","2","0","0","2","0","0","3","0"
"BOX 212 & 213","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","50","29","81","21","13","2","2","0","1","1","0"
"David Scott BARNES","26","9","14","10","1","0","2","1","0","2","3"
"Philip BRAAT","30","66","24","18","4","2","0","2","1","0","0"
"Graham CAMPBELL","5","3","7","13","4","1","6","1","0","1","1"
"Martin John DOCHERTY","77","62","24","7","3","2","0","1","3","2","1"
"Rob HARRIS","7","7","9","8","8","4","4","1","2","1","1"
"Ewan HOYLE","11","18","28","12","3","5","1","3","1","0","0"
"Craig MACKAY","56","78","28","11","0","2","1","0","1","4","2"
"Gordon MATHESON","65","37","22","13","9","2","1","1","0","0","1"
