"LIVE ELECTIONS MAY 2012",,,,,,,,,,,,,
"First Preference By Ballot Box Report",,,,,,,,,,,,,
"Ward 12 Partick West",,,,,,,,,,,,,
04/05/2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"Donald WILLIAMSON",6,3,8,3,2,0,0,1,0,1,0,1,5
"BOX 253","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",17,3,4,4,1,1,1,0,3,0,0,0,1
"Martin BARTOS",57,32,47,16,2,1,1,0,0,0,0,0,0
"Nicholas Alexander BLACK",2,5,12,5,4,1,0,2,0,0,0,1,0
"Aileen COLLERAN",54,75,29,16,5,3,1,1,0,1,0,0,0
"Feargal DALTON",43,87,22,9,4,2,2,1,0,1,0,0,0
"CATHERINE FINDLAY",0,4,2,4,3,3,1,1,1,0,2,0,0
"ROBERT FINDLAY",0,0,6,0,4,2,2,0,0,2,0,2,0
"Andrew GRAY",5,10,22,14,5,1,0,1,2,0,0,0,0
"Stuart James MASKELL",3,1,5,2,2,0,0,0,1,0,1,1,0
"Kenny MCLEAN",82,52,22,12,6,1,0,0,0,1,0,0,1
"James PARIS",15,15,17,13,4,1,1,2,0,0,1,0,0
"Michael Graeme SHANKS",74,49,31,24,5,2,2,0,0,0,0,1,0
"Donald WILLIAMSON",5,5,8,6,4,2,1,0,0,0,1,0,2
"BOX 254","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",16,10,10,3,1,0,1,1,1,1,1,0,1
"Martin BARTOS",55,24,47,10,2,1,1,0,0,1,0,0,0
"Nicholas Alexander BLACK",2,3,6,4,0,0,1,4,2,0,0,0,0
"Aileen COLLERAN",59,52,18,12,1,2,1,1,0,0,0,0,0
"Feargal DALTON",26,44,15,7,5,1,1,0,0,0,0,1,1
"CATHERINE FINDLAY",3,3,4,3,1,0,0,0,1,1,1,1,1
"ROBERT FINDLAY",1,4,3,4,2,1,0,1,1,1,0,1,1
"Andrew GRAY",3,7,15,7,2,2,2,1,0,1,3,1,0
"Stuart James MASKELL",2,0,6,7,2,1,0,0,3,0,1,1,0
"Kenny MCLEAN",45,29,15,13,3,1,1,0,0,0,0,1,1
"James PARIS",9,13,17,9,4,4,2,0,0,0,0,1,0
"Michael Graeme SHANKS",38,51,20,7,7,0,0,2,0,0,0,0,0
"Donald WILLIAMSON",1,1,6,1,1,0,1,0,0,2,1,0,2
"BOX 255","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",17,4,7,5,1,2,0,1,0,1,1,0,0
"Martin BARTOS",80,32,60,12,4,4,0,1,0,0,0,0,0
"Nicholas Alexander BLACK",1,0,7,6,3,1,1,2,0,0,0,0,0
"Aileen COLLERAN",55,61,20,11,4,3,2,0,1,1,0,0,0
"Feargal DALTON",36,55,29,12,2,3,0,0,0,1,0,2,0
"CATHERINE FINDLAY",2,5,4,1,0,2,2,0,0,0,3,0,0
"ROBERT FINDLAY",0,3,4,2,0,0,2,2,0,0,0,2,1
"Andrew GRAY",12,10,14,10,7,1,1,0,0,1,1,0,1
"Stuart James MASKELL",1,4,1,2,2,1,0,0,1,0,0,0,1
"Kenny MCLEAN",50,55,15,10,0,1,0,0,0,1,0,0,1
"James PARIS",8,14,20,13,11,1,2,1,1,0,0,0,0
"Michael Graeme SHANKS",38,37,31,19,3,5,2,1,1,0,0,1,0
"Donald WILLIAMSON",3,1,8,1,5,0,0,1,1,0,0,0,1
"BOX 256","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",10,2,9,6,2,2,0,1,1,0,0,1,6
"Martin BARTOS",45,22,55,10,5,1,2,2,0,0,0,1,0
"Nicholas Alexander BLACK",1,0,4,10,1,1,2,4,2,2,2,0,0
"Aileen COLLERAN",61,30,17,7,5,1,1,1,0,0,1,0,0
"Feargal DALTON",33,70,14,6,4,0,1,1,0,3,0,1,1
"CATHERINE FINDLAY",0,2,2,4,1,2,3,1,5,0,3,2,0
"ROBERT FINDLAY",1,0,4,3,4,3,0,1,1,3,2,3,0
"Andrew GRAY",2,10,15,15,8,5,3,1,1,1,2,0,0
"Stuart James MASKELL",1,7,3,3,3,1,2,2,1,1,2,2,2
"Kenny MCLEAN",66,41,21,8,3,6,0,0,1,0,0,1,2
"James PARIS",7,8,12,9,6,4,2,2,2,2,1,0,0
"Michael Graeme SHANKS",24,45,14,20,4,1,3,0,0,0,0,1,0
"Donald WILLIAMSON",2,1,7,3,2,3,1,0,1,2,1,2,3
"BOX 257","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",5,3,5,6,1,1,1,1,1,0,1,1,1
"Martin BARTOS",26,15,35,10,6,2,3,0,0,0,0,1,1
"Nicholas Alexander BLACK",1,2,8,2,1,3,0,1,0,1,1,0,0
"Aileen COLLERAN",57,20,17,10,7,1,0,0,0,0,1,1,0
"Feargal DALTON",27,54,11,11,1,1,0,0,0,0,1,1,0
"CATHERINE FINDLAY",1,3,2,4,2,1,1,0,0,1,0,0,0
"ROBERT FINDLAY",1,2,4,2,1,1,0,1,0,0,2,0,0
"Andrew GRAY",4,9,12,7,4,0,3,1,2,0,0,2,0
"Stuart James MASKELL",2,2,3,1,0,1,0,0,2,2,0,0,0
"Kenny MCLEAN",53,22,16,10,4,0,0,0,0,1,0,0,1
"James PARIS",5,6,8,9,4,3,2,2,0,1,0,0,0
"Michael Graeme SHANKS",16,50,16,10,8,4,0,1,0,0,0,0,1
"Donald WILLIAMSON",3,2,4,1,1,1,1,1,1,0,0,0,1
"BOX 258","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",15,2,8,3,1,0,0,3,0,1,0,0,2
"Martin BARTOS",35,26,37,14,7,1,1,0,2,0,0,0,0
"Nicholas Alexander BLACK",2,2,5,2,3,1,1,2,1,0,0,0,0
"Aileen COLLERAN",71,29,11,14,4,1,1,0,0,0,0,1,1
"Feargal DALTON",34,49,18,6,3,5,0,0,0,0,0,1,1
"CATHERINE FINDLAY",1,2,4,3,2,0,1,0,1,1,0,0,0
